
2024/01/25 (16:41:17) | ===> btop++ v.1.2.13
2024/01/25 (16:41:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/21 (17:21:38) | ===> btop++ v.1.2.13
2024/02/21 (17:21:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/29 (23:28:58) | ===> btop++ v.1.3.2
2024/02/29 (23:28:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/02/29 (23:29:26) | ===> btop++ v.1.3.2
2024/02/29 (23:29:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/02 (11:23:34) | ===> btop++ v.1.3.2
2024/03/02 (11:23:34) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/03/02 (11:24:30) | INFO: Logger set to DEBUG
2024/03/02 (11:24:31) | INFO: Logger set to INFO

2024/03/06 (11:00:03) | ===> btop++ v.1.3.2
2024/03/06 (11:00:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/13 (16:30:07) | ===> btop++ v.1.3.2
2024/03/13 (16:30:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/20 (14:48:46) | ===> btop++ v.1.3.2
2024/03/20 (14:48:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/21 (22:40:47) | ===> btop++ v.1.3.2
2024/03/21 (22:40:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/23 (17:04:18) | ===> btop++ v.1.3.2
2024/03/23 (17:04:18) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/24 (16:27:01) | ===> btop++ v.1.3.2
2024/03/24 (16:27:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/25 (00:11:13) | ===> btop++ v.1.3.2
2024/03/25 (00:11:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/01 (15:26:59) | ===> btop++ v.1.3.2
2024/04/01 (15:26:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/12 (21:06:59) | ===> btop++ v.1.3.2
2024/04/12 (21:06:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/02 (22:31:50) | ===> btop++ v.1.3.2
2024/05/02 (22:31:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (10:41:37) | ===> btop++ v.1.3.2
2024/06/04 (10:41:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/09 (13:25:20) | ===> btop++ v.1.3.2
2024/06/09 (13:25:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/20 (14:10:11) | ===> btop++ v.1.3.2
2024/06/20 (14:10:11) | WARNING: Failed to set locale UTF-8 continuing anyway.
